#     w           TDOS(K,w)           Gamma(0,w)           ADOS(K,w)       ADOS_Error        TDOS_Error    Gamma_Error    TDOS_Loc(R=0)       TDOS_Loc_Error
       -1.500000   0.14192099E+00   0.27254082E+00   0.14050954E+00   0.51476070E-02   0.00000000E+00   0.80970706E-02   0.14017797E+00   0.30248717E-02
       -1.483333   0.14721725E+00   0.27778568E+00   0.14574443E+00   0.53355705E-02   0.00000000E+00   0.78442470E-02   0.14537813E+00   0.31403318E-02
       -1.466667   0.15251324E+00   0.28271424E+00   0.15097745E+00   0.55219050E-02   0.00000000E+00   0.75968000E-02   0.15057910E+00   0.32545897E-02
       -1.450000   0.15781425E+00   0.28734494E+00   0.15621385E+00   0.57065909E-02   0.00000000E+00   0.73543297E-02   0.15578621E+00   0.33675499E-02
       -1.433333   0.16312469E+00   0.29169465E+00   0.16145804E+00   0.58895566E-02   0.00000000E+00   0.71169387E-02   0.16100395E+00   0.34790858E-02
       -1.416667   0.16844808E+00   0.29577892E+00   0.16671358E+00   0.60706763E-02   0.00000000E+00   0.68848797E-02   0.16623597E+00   0.35890400E-02
       -1.400000   0.17378701E+00   0.29961216E+00   0.17198314E+00   0.62497695E-02   0.00000000E+00   0.66584881E-02   0.17148503E+00   0.36972258E-02
       -1.383333   0.17914317E+00   0.30320774E+00   0.17726852E+00   0.64266011E-02   0.00000000E+00   0.64380821E-02   0.17675308E+00   0.38034313E-02
       -1.366667   0.18451743E+00   0.30657808E+00   0.18257071E+00   0.66008833E-02   0.00000000E+00   0.62239178E-02   0.18204128E+00   0.39074222E-02
       -1.350000   0.18990979E+00   0.30973493E+00   0.18788988E+00   0.67722755E-02   0.00000000E+00   0.60162500E-02   0.18735002E+00   0.40089456E-02
       -1.333333   0.19531945E+00   0.31268947E+00   0.19322544E+00   0.69403820E-02   0.00000000E+00   0.58153782E-02   0.19267892E+00   0.41077316E-02
       -1.316667   0.20074476E+00   0.31545261E+00   0.19857596E+00   0.71047498E-02   0.00000000E+00   0.56216548E-02   0.19802681E+00   0.42034953E-02
       -1.300000   0.20618317E+00   0.31803507E+00   0.20393912E+00   0.72648654E-02   0.00000000E+00   0.54354672E-02   0.20339169E+00   0.42959388E-02
       -1.283333   0.21163119E+00   0.32044749E+00   0.20931172E+00   0.74201527E-02   0.00000000E+00   0.52572081E-02   0.20877063E+00   0.43847538E-02
       -1.266667   0.21708433E+00   0.32270050E+00   0.21468955E+00   0.75699724E-02   0.00000000E+00   0.50872494E-02   0.21415979E+00   0.44696234E-02
       -1.250000   0.22253712E+00   0.32480473E+00   0.22006744E+00   0.77136235E-02   0.00000000E+00   0.49259250E-02   0.21955435E+00   0.45502253E-02
       -1.233333   0.22798309E+00   0.32677084E+00   0.22543925E+00   0.78503462E-02   0.00000000E+00   0.47735214E-02   0.22494855E+00   0.46262325E-02
       -1.216667   0.23341480E+00   0.32860949E+00   0.23079792E+00   0.79793261E-02   0.00000000E+00   0.46302682E-02   0.23033567E+00   0.46973137E-02
       -1.200000   0.23882392E+00   0.33033131E+00   0.23613549E+00   0.80997018E-02   0.00000000E+00   0.44963263E-02   0.23570810E+00   0.47631307E-02
       -1.183333   0.24420130E+00   0.33194690E+00   0.24144328E+00   0.82105735E-02   0.00000000E+00   0.43717715E-02   0.24105737E+00   0.48233345E-02
       -1.166667   0.24953709E+00   0.33346672E+00   0.24671196E+00   0.83110154E-02   0.00000000E+00   0.42565779E-02   0.24637431E+00   0.48775585E-02
